Product_name,description
Cactus,"Cacti generally have thick herbaceous or woody chlorophyll-containing stems. Cacti can be distinguished from other succulent plants by the presence of areoles, small cushionlike structures with trichomes (plant hairs) and, in almost all species, spines or barbed bristles (glochids)."
Dragon Tree,"With a fat and scaly trunk, leggy succulent branches that reach skyward to support an umbrella-like canopy of rosette-shaped foliage clusters, stiff blue-green leaves shaped like swords, and greenish-white flowers that are later replaced with dripping strands of red and black berries, the dragon tree Dracaena draco has a look all its own."
Jade Plant,"A branched, succulent shrub commonly grown indoors, jade plant features thick, woody stems and glossy green, fleshy, oblong leaves up to two inches long. Happily, this low-maintenance plant lives a long time, taking on the appearance of a miniature tree as it ages."
Devil Ivy,"It"s a gorgeous vining plant with heart-shaped leaves that are variegated in green and yellow. It"s a fast grower, hardy, and can tolerate a wide variety of growing conditions. The vines can reach 10′ or longer, making them ideal for hanging baskets where they will create beautiful draping foliage."
Arrow Head,"Arrowhead is a tall, aquatic plant that is often found in shallow water or along the margins of slow-moving watercourses. It is in bloom from June to September, displaying small, white flowers; but it is the arrow-shaped leaves that are most distinctive."
Philodendron,"philodendron, (genus Philodendron), approximately 450 species of stout-stemmed climbing herbs of the family Araceae, native to tropical America. Many species begin life as vines and then transform into epiphytes (plants that live upon other plants). Because many young philodendrons are adapted to the low light levels of rainforests, they are popular potted plants for homes and offices."
Calathea Makoyana,"Calathea makoyana, commonly called peacock plant or cathedral windows is native to eastern Brazil. It is named for its striking foliage that purportedly resembles the beauty of a peacock"s tail. It is a compact species that typically grows to 1-2" tall."
Peace Lily,"Peace lilies are sturdy, easy to grow plants with glossy, dark green oval leaves that narrow to a point. The leaves rise directly from the soil. These plants also periodically produce lightly fragrant white flowers that resemble calla lilies. The long-lasting, pure white flowers will turn a pale green as they age."
Monstera,"Monstera deliciosa, commonly called split-leaf philodendron or swiss cheese plant, is native to Central America. It is a climbing, evergreen perennial vine that is perhaps most noted for its large perforated leaves on thick plant stems and its long cord-like aerial roots."
Fiddle Leaf Fig,"Ficus lyrata, commonly called the fiddle-leaf fig, is a perfect indoor specimen plant. The plant features very large, heavily veined, and violin-shaped leaves that grow upright on a tall plant. We almost always have Ficus lyrata in stock at our retail plant store in San Francisco."
Bird of Paradise,"The leaves on a bird-of-paradise plant are arranged to form a fan-like clump of thick, waxy, and evergreen foliage. The color of the leaves varies from glossy, deep green, to blue-green, to muted gray-green. The leaves are paddle shaped, similar to banana plant leaves, and attached to a long, upright stalk."
Pilea Peperomioides,"Pilea peperomioides is an erect, evergreen perennial plant, with shiny, dark green, circular leaves up to 10 cm (4 in) in diameter on long petioles. The leaves are described as peltate—circular, with the petiole attached near the centre. The plant is completely hairless."
Rubber Plant,"Rubber plants are grown for their glossy, leathery, large leaves. The leaves are oblong to oval, 8 to 12 inches long and in various colors of dark green, deep maroon or marked with yellow, cream, pink or white. The Tricolor rubber plant (Ficus elastica "Tricolor") has attractive green, cream and pink splotched leaves."
